ZipCode,Time,Value
60613,2011-10-01,737100.0
60629,2011-10-01,111400.0
60625,2011-10-01,333100.0
60619,2011-10-01,115300.0
60610,2011-10-01,762300.0
60620,2011-10-01,117300.0
60634,2011-10-01,177700.0
60626,2011-10-01,300900.0
60649,2011-10-01,135600.0
60616,2011-10-01,289200.0
60622,2011-10-01,543600.0
60615,2011-10-01,372700.0
60641,2011-10-01,175900.0
60660,2011-10-01,395800.0
60608,2011-10-01,169800.0
60657,2011-11-01,734400.0
60614,2011-11-01,922900.0
60640,2011-11-01,575700.0
60647,2011-11-01,284300.0
60618,2011-11-01,296800.0
60613,2011-11-01,736300.0
60629,2011-11-01,109600.0
60625,2011-11-01,329700.0
60619,2011-11-01,113200.0
60610,2011-11-01,762800.0
60620,2011-11-01,116500.0
60634,2011-11-01,175400.0
60626,2011-11-01,300900.0
60649,2011-11-01,133400.0
60616,2011-11-01,284000.0
60622,2011-11-01,541500.0
60615,2011-11-01,370000.0
60641,2011-11-01,175800.0
60660,2011-11-01,392100.0
60608,2011-11-01,167400.0
60657,2011-12-01,737500.0
60614,2011-12-01,928300.0
60640,2011-12-01,573000.0
60647,2011-12-01,284400.0
60618,2011-12-01,295700.0
60613,2011-12-01,738200.0
60629,2011-12-01,109100.0
60625,2011-12-01,328700.0
60619,2011-12-01,111200.0
60610,2011-12-01,764600.0
60620,2011-12-01,114000.0
60634,2011-12-01,174400.0
60626,2011-12-01,300500.0
60649,2011-12-01,132300.0
60616,2011-12-01,280700.0
60622,2011-12-01,537900.0
60615,2011-12-01,367800.0
60641,2011-12-01,177100.0
60660,2011-12-01,392100.0
60608,2011-12-01,167300.0
60657,2012-01-01,737700.0
60614,2012-01-01,928900.0
60640,2012-01-01,565300.0
60647,2012-01-01,284100.0
60618,2012-01-01,293000.0
60613,2012-01-01,737600.0
60629,2012-01-01,108400.0
60625,2012-01-01,326500.0
60619,2012-01-01,108900.0
60610,2012-01-01,765200.0
60620,2012-01-01,109400.0
60634,2012-01-01,173400.0
60626,2012-01-01,296700.0
60649,2012-01-01,130400.0
60616,2012-01-01,278700.0
60622,2012-01-01,532500.0
60615,2012-01-01,365800.0
60641,2012-01-01,176400.0
60660,2012-01-01,391500.0
60608,2012-01-01,167600.0
60657,2012-02-01,733700.0
60614,2012-02-01,923900.0
60640,2012-02-01,555400.0
60647,2012-02-01,282100.0
60618,2012-02-01,289900.0
60613,2012-02-01,734300.0
60629,2012-02-01,107400.0
60625,2012-02-01,321700.0
60619,2012-02-01,106600.0
60610,2012-02-01,764800.0
60620,2012-02-01,105700.0
60634,2012-02-01,171400.0
60626,2012-02-01,290300.0
60649,2012-02-01,127700.0
60616,2012-02-01,274500.0
60622,2012-02-01,526300.0
60615,2012-02-01,363700.0
60641,2012-02-01,173300.0
60660,2012-02-01,389500.0
60608,2012-02-01,167300.0
60657,2012-03-01,734000.0
60614,2012-03-01,925300.0
60640,2012-03-01,549300.0
60647,2012-03-01,278500.0
60618,2012-03-01,289700.0
60613,2012-03-01,734700.0
60629,2012-03-01,106800.0
60625,2012-03-01,318700.0
60619,2012-03-01,104500.0
60610,2012-03-01,764100.0
60620,2012-03-01,103300.0
60634,2012-03-01,169600.0
60626,2012-03-01,286000.0
60649,2012-03-01,128100.0
60616,2012-03-01,271600.0
60622,2012-03-01,525200.0
60615,2012-03-01,362400.0
60641,2012-03-01,172000.0
60660,2012-03-01,388600.0
60608,2012-03-01,168600.0
60657,2012-04-01,740300.0
60614,2012-04-01,938100.0
60640,2012-04-01,552400.0
60647,2012-04-01,276200.0
60618,2012-04-01,292900.0
60613,2012-04-01,739700.0
60629,2012-04-01,107100.0
60625,2012-04-01,319500.0
60619,2012-04-01,104000.0
60610,2012-04-01,770700.0
60620,2012-04-01,101300.0
60634,2012-04-01,169700.0
60626,2012-04-01,285600.0
60649,2012-04-01,130200.0
60616,2012-04-01,271700.0
60622,2012-04-01,528600.0
60615,2012-04-01,362600.0
60641,2012-04-01,173400.0
60660,2012-04-01,392400.0
60608,2012-04-01,172000.0
60657,2012-05-01,744600.0
60614,2012-05-01,951900.0
60640,2012-05-01,555300.0
60647,2012-05-01,275600.0
60618,2012-05-01,296700.0
60613,2012-05-01,742500.0
60629,2012-05-01,107000.0
60625,2012-05-01,321300.0
60619,2012-05-01,105100.0
60610,2012-05-01,780400.0
60620,2012-05-01,100600.0
60634,2012-05-01,170200.0
60626,2012-05-01,285800.0
60649,2012-05-01,131400.0
60616,2012-05-01,269200.0
60622,2012-05-01,531000.0
60615,2012-05-01,363100.0
60641,2012-05-01,174500.0
60660,2012-05-01,393000.0
60608,2012-05-01,173900.0
60657,2012-06-01,750500.0
60614,2012-06-01,965400.0
60640,2012-06-01,551000.0
60647,2012-06-01,276200.0
60618,2012-06-01,301200.0
60613,2012-06-01,745400.0
60629,2012-06-01,106800.0
60625,2012-06-01,323200.0
60619,2012-06-01,107400.0
60610,2012-06-01,786300.0
60620,2012-06-01,101500.0
60634,2012-06-01,171200.0
60626,2012-06-01,286900.0
60649,2012-06-01,132300.0
60616,2012-06-01,265600.0
60622,2012-06-01,529900.0
60615,2012-06-01,365300.0
60641,2012-06-01,175700.0
60660,2012-06-01,390300.0
60608,2012-06-01,172800.0
60657,2012-07-01,760400.0
60614,2012-07-01,975900.0
